1,28E-10	1,27E-10	1,27E-10	1,29E-10	1,34E-10	1,39E-10	1,45E-10	1,51E-10	1,55E-10	1,60E-10	1,59E-10	1,59E-10	1,58E-10	1,56E-10	1,52E-10	1,52E-10	1,54E-10	1,58E-10	1,58E-10	1,56E-10	NAN	NAN	NAN	NAN	1,56E-10	1,65E-10	1,68E-10	1,69E-10	1,58E-10	1,51E-10	1,47E-10	1,41E-10	1,36E-10	1,33E-10	1,30E-10	1,29E-10
NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	2,77E-10	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1,05E-10	1,03E-10	NAN	NAN	1,13E-10	1,35E-10	1,34E-10	1,38E-10	1,29E-10	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	NAN	NAN	NAN	NAN	1,36E-10	1,48E-10	1,50E-10	1,31E-10	1,29E-10	1,15E-10	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	2,19E-10	2,20E-10	1,89E-10	1,04E-10	1,12E-10	9,39E-11	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	NAN	NAN	1,33E-10	1,22E-10	1,06E-10	1,11E-10	1,15E-10	1,30E-10	1,22E-10	1,10E-10	7,47E-11	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1,93E-10	1,90E-10	1,89E-10	1,67E-10	1,36E-10	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	NAN	NAN	9,84E-11	1,06E-10	1,01E-10	9,71E-11	9,86E-11	1,03E-10	1,02E-10	9,41E-11	8,03E-11	5,91E-11	NAN	NAN	NAN	NAN	NAN	NAN	1,35E-10	1,50E-10	1,59E-10	1,49E-10	1,33E-10	1,00E-10	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	NAN	8,31E-11	8,08E-11	8,40E-11	8,70E-11	8,76E-11	8,68E-11	8,52E-11	8,31E-11	7,79E-11	6,83E-11	5,17E-11	NAN	NAN	NAN	NAN	NAN	1,11E-10	1,08E-10	1,18E-10	1,20E-10	1,15E-10	9,96E-11	6,57E-11	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	NAN	6,54E-11	6,81E-11	7,19E-11	7,54E-11	7,55E-11	7,42E-11	7,14E-11	6,60E-11	6,02E-11	5,61E-11	4,32E-11	NAN	NAN	NAN	NAN	8,79E-11	9,09E-11	9,51E-11	9,17E-11	8,63E-11	8,00E-11	7,29E-11	NAN	3,33E-10	4,49E-10	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	NAN	5,63E-11	5,44E-11	5,75E-11	6,00E-11	6,16E-11	6,05E-11	5,57E-11	5,09E-11	4,62E-11	4,73E-11	4,79E-11	NAN	NAN	NAN	NAN	7,51E-11	7,18E-11	7,16E-11	6,64E-11	6,03E-11	5,90E-11	6,00E-11	7,46E-11	2,22E-10	4,42E-10	6,63E-10	7,71E-10	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	5,29E-11	4,49E-11	4,03E-11	4,22E-11	4,33E-11	4,42E-11	4,31E-11	3,93E-11	3,51E-11	3,37E-11	3,90E-11	4,09E-11	4,42E-11	NAN	NAN	NAN	4,58E-11	5,01E-11	4,85E-11	4,37E-11	4,34E-11	5,18E-11	5,63E-11	NAN	NAN	6,11E-10	7,49E-10	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	4,88E-11	3,05E-11	2,73E-11	2,72E-11	2,87E-11	3,13E-11	3,12E-11	2,95E-11	2,85E-11	3,04E-11	3,41E-11	3,82E-11	4,20E-11	NAN	9,69E-11	4,83E-11	4,04E-11	4,08E-11	4,14E-11	4,08E-11	4,27E-11	5,29E-11	6,72E-11	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
NAN	NAN	3,15E-11	2,93E-11	2,77E-11	2,87E-11	2,87E-11	2,88E-11	2,97E-11	3,00E-11	3,19E-11	3,28E-11	3,14E-11	3,41E-11	3,48E-11	NAN	6,51E-11	4,61E-11	4,65E-11	4,44E-11	4,37E-11	4,59E-11	4,93E-11	6,36E-11	6,99E-11	NAN	NAN	NAN	NAN	NAN	NAN	7,05E-10	3,28E-10	NAN	NAN	NAN
NAN	3,86E-11	2,78E-11	2,43E-11	2,47E-11	2,64E-11	2,72E-11	2,73E-11	2,73E-11	2,68E-11	2,81E-11	2,95E-11	2,96E-11	3,10E-11	3,05E-11	NAN	4,62E-11	3,80E-11	4,28E-11	3,94E-11	3,97E-11	4,22E-11	4,48E-11	6,05E-11	5,35E-11	NAN	NAN	NAN	NAN	NAN	NAN	4,32E-10	3,17E-10	NAN	NAN	NAN
NAN	3,36E-11	2,53E-11	2,30E-11	2,29E-11	2,38E-11	2,41E-11	2,48E-11	2,55E-11	2,60E-11	2,63E-11	2,67E-11	2,69E-11	2,76E-11	2,80E-11	2,81E-11	NAN	4,26E-11	3,97E-11	3,99E-11	3,88E-11	3,94E-11	4,18E-11	4,94E-11	5,36E-11	NAN	NAN	NAN	NAN	NAN	NAN	1,86E-10	2,10E-10	NAN	2,36E-10	2,11E-10
NAN	3,19E-11	2,41E-11	2,29E-11	2,29E-11	2,36E-11	2,41E-11	2,51E-11	2,60E-11	2,67E-11	2,70E-11	2,73E-11	2,70E-11	2,69E-11	2,65E-11	2,64E-11	3,79E-11	NAN	4,84E-11	4,61E-11	3,98E-11	3,96E-11	4,18E-11	4,65E-11	5,40E-11	NAN	NAN	NAN	NAN	NAN	NAN	8,35E-11	1,08E-10	2,00E-10	2,38E-10	1,63E-10
NAN	2,74E-11	2,42E-11	2,34E-11	2,35E-11	2,41E-11	2,54E-11	2,68E-11	2,86E-11	2,94E-11	3,00E-11	3,05E-11	2,90E-11	2,98E-11	2,72E-11	2,73E-11	3,23E-11	3,62E-11	NAN	5,28E-11	4,54E-11	4,31E-11	4,38E-11	4,31E-11	5,70E-11	NAN	NAN	NAN	NAN	NAN	NAN	6,34E-11	5,53E-11	1,71E-10	1,99E-10	7,48E-11
NAN	2,53E-11	2,66E-11	2,45E-11	2,46E-11	2,60E-11	2,83E-11	3,16E-11	3,40E-11	3,61E-11	3,60E-11	3,49E-11	3,46E-11	3,18E-11	2,86E-11	3,18E-11	4,43E-11	4,44E-11	NAN	NAN	4,46E-11	4,61E-11	4,42E-11	4,37E-11	6,56E-11	NAN	NAN	NAN	NAN	NAN	NAN	5,04E-11	4,55E-11	1,17E-10	1,46E-10	7,22E-11
